Source IP,Source Port,Destination IP,Destination Port,Protocol,App Label,Traffic Label
192.168.68.78,61346,104.18.10.42,443,6,Email,Chat
192.168.68.78,53324,142.251.175.100,443,17,Spotify,File Transfer
104.18.10.42,443,192.168.68.78,61346,6,Discord,Chat
142.251.175.100,443,192.168.68.78,53324,17,Discord,File Transfer
142.251.175.100,443,192.168.68.78,53324,17,Discord,Streaming
142.251.175.100,443,192.168.68.78,53324,17,Discord,File Transfer
192.168.68.78,53324,142.251.175.100,443,17,Spotify,Streaming
142.251.175.100,443,192.168.68.78,53324,17,Discord,File Transfer
192.168.68.78,53324,142.251.175.100,443,17,Spotify,Streaming
142.251.175.100,443,192.168.68.78,53324,17,Discord,File Transfer
142.251.175.100,443,192.168.68.78,53324,17,Discord,File Transfer
142.251.175.100,443,192.168.68.78,53324,17,Discord,File Transfer
192.168.68.78,53324,142.251.175.100,443,17,Spotify,Streaming
192.168.68.78,53324,142.251.175.100,443,17,Spotify,Streaming
192.168.68.78,53324,142.251.175.100,443,17,Spotify,File Transfer
142.251.175.100,443,192.168.68.78,53324,17,Discord,File Transfer
142.251.175.100,443,192.168.68.78,53324,17,Discord,Streaming
142.251.175.100,443,192.168.68.78,53324,17,Discord,Streaming
192.168.68.78,53324,142.251.175.100,443,17,Spotify,Streaming
142.251.175.100,443,192.168.68.78,53324,17,Discord,File Transfer
192.168.68.78,53324,142.251.175.100,443,17,Spotify,Chat
142.251.175.100,443,192.168.68.78,53324,17,Discord,File Transfer
142.251.175.100,443,192.168.68.78,53324,17,Discord,Streaming
142.251.175.100,443,192.168.68.78,53324,17,Discord,File Transfer
192.168.68.78,53324,142.251.175.100,443,17,Spotify,Streaming
192.168.68.78,53324,142.251.175.100,443,17,Spotify,File Transfer
142.251.175.100,443,192.168.68.78,53324,17,Discord,File Transfer
192.168.68.78,53324,142.251.175.100,443,17,Spotify,Streaming
142.251.175.100,443,192.168.68.78,53324,17,Netflix,Chat
142.251.175.100,443,192.168.68.78,53324,17,Netflix,Streaming
192.168.68.78,53324,142.251.175.100,443,17,Spotify,Streaming
142.251.175.100,443,192.168.68.78,53324,17,Discord,File Transfer
