,Source IP,Source Port,Destination IP,Destination Port,Protocol,Traffic Label,App Label
347,8.241.138.126,80,192.168.68.71,50500,6,File Transfer,
348,8.241.138.126,80,192.168.68.71,50499,6,Streaming,
349,192.168.68.71,50501,8.241.138.126,80,6,File Transfer,
350,192.168.68.71,50501,8.241.138.126,80,6,Chat,
351,8.241.138.126,80,192.168.68.71,50501,6,File Transfer,
352,192.168.68.71,50502,8.241.138.126,80,6,File Transfer,
353,8.241.138.126,80,192.168.68.71,50502,6,Chat,
354,8.241.138.126,80,192.168.68.71,50502,6,File Transfer,
355,192.168.68.71,50503,8.241.138.126,80,6,File Transfer,
356,192.168.68.71,50503,8.241.138.126,80,6,VoIP,
357,8.241.138.126,80,192.168.68.71,50503,6,File Transfer,
358,192.168.68.71,50504,8.241.138.126,80,6,VoIP,
359,192.168.68.71,50504,8.241.138.126,80,6,Chat,
360,8.241.138.126,80,192.168.68.71,50504,6,File Transfer,
361,192.168.68.71,50505,8.241.138.126,80,6,Streaming,
362,8.241.138.126,80,192.168.68.71,50505,6,Chat,
363,8.241.138.126,80,192.168.68.71,50505,6,File Transfer,
364,192.168.68.71,50206,104.18.18.119,443,6,Chat,
365,192.168.68.71,50506,8.241.138.126,80,6,File Transfer,
366,8.241.138.126,80,192.168.68.71,50506,6,VoIP,
367,8.241.138.126,80,192.168.68.71,50506,6,Streaming,
368,192.168.68.71,50507,8.241.138.126,80,6,File Transfer,
369,192.168.68.71,50507,8.241.138.126,80,6,VoIP,
370,8.241.138.126,80,192.168.68.71,50507,6,File Transfer,
371,192.168.68.71,50508,8.241.138.126,80,6,File Transfer,
372,192.168.68.71,50508,8.241.138.126,80,6,Chat,
373,192.168.68.71,50509,8.241.138.126,80,6,File Transfer,
374,192.168.68.71,50509,8.241.138.126,80,6,VoIP,
375,192.168.68.71,50510,8.241.138.126,80,6,VoIP,
376,192.168.68.71,50510,8.241.138.126,80,6,File Transfer,
377,192.168.68.71,50510,8.241.138.126,80,6,VoIP,
378,8.241.138.126,80,192.168.68.71,50510,6,File Transfer,
379,192.168.68.71,50511,8.241.138.126,80,6,File Transfer,
380,192.168.68.71,50511,8.241.138.126,80,6,Chat,
381,192.168.68.71,50510,8.241.138.126,80,6,Gaming,
382,8.241.138.126,80,192.168.68.71,50511,6,File Transfer,
383,8.241.138.126,80,192.168.68.71,50508,6,File Transfer,
384,8.241.138.126,80,192.168.68.71,50509,6,File Transfer,
385,192.168.68.71,50485,103.1.138.144,80,6,VoIP,
386,192.168.68.71,50479,103.1.138.205,80,6,VoIP,
387,192.168.68.71,50477,103.1.138.206,80,6,VoIP,
388,192.168.68.71,50473,52.254.114.71,443,6,Streaming,
389,192.168.68.71,50514,188.42.147.101,443,6,Gaming,
390,192.168.68.71,50513,52.168.117.168,443,6,VoIP,
392,192.168.68.65,5353,224.0.0.251,5353,17,Gaming,
393,192.168.68.71,49849,35.186.224.47,443,6,VoIP,
394,192.168.68.71,50512,13.85.23.206,443,6,Streaming,
395,192.168.68.71,50515,188.42.147.101,443,6,Gaming,
396,192.168.68.71,50375,162.159.138.234,443,6,Chat,
397,192.168.68.71,50461,8.241.138.124,80,6,Gaming,
398,192.168.68.71,50516,20.189.173.12,443,6,Streaming,
399,20.189.173.12,443,192.168.68.71,50516,6,Gaming,
400,136.202.91.240,0,0.60.0.1,0,0,File Transfer,
401,192.168.68.62,5353,224.0.0.251,5353,17,Streaming,
402,192.168.68.71,50442,104.16.56.40,443,6,Streaming,
403,192.168.68.71,50519,23.209.46.68,80,6,Streaming,
404,136.202.65.120,0,0.109.32.16,0,0,Gaming,
405,192.168.68.71,50523,188.42.147.101,443,6,Gaming,
406,172.65.217.212,5223,192.168.68.71,50097,6,Gaming,
407,192.168.68.57,0,224.0.0.2,0,0,Streaming,
408,192.168.68.1,0,239.255.255.250,0,0,Streaming,
409,192.168.68.71,0,224.0.0.22,0,0,Streaming,
410,192.168.68.78,0,224.0.0.22,0,0,Streaming,
411,192.168.68.71,49919,23.209.46.84,443,6,File Transfer,
412,192.168.68.71,49921,23.202.34.131,443,6,File Transfer,
413,192.168.68.71,49920,23.209.46.68,443,6,File Transfer,
414,192.168.68.71,49759,162.159.135.234,443,6,VoIP,
415,192.168.68.71,50524,188.42.147.101,443,6,Gaming,
416,192.168.68.71,50357,104.18.19.119,443,6,Gaming,
417,192.168.68.71,50438,23.209.46.84,443,6,Streaming,
418,192.168.68.71,50525,23.209.46.69,443,6,File Transfer,
419,23.209.46.69,443,192.168.68.71,50525,6,File Transfer,
420,192.168.68.71,50526,188.42.147.101,443,6,Gaming,
421,188.42.147.101,443,192.168.68.71,50526,6,Chat,
422,192.168.68.71,49835,162.247.241.2,443,6,Gaming,
423,192.168.68.71,49836,162.247.241.2,443,6,Gaming,
424,192.168.68.71,50439,184.26.20.128,443,6,File Transfer,
425,192.168.68.71,49848,162.247.241.2,443,6,Gaming,
426,192.168.68.71,49851,162.247.241.2,443,6,Gaming,
427,192.168.68.71,50527,188.42.147.101,443,6,Gaming,
428,192.168.68.71,50122,162.247.241.2,443,6,Gaming,
429,192.168.68.71,50528,188.42.147.101,443,6,Gaming,
430,192.168.68.71,49753,20.197.71.89,443,6,Streaming,
431,0.8.0.0,0,245.129.128.0,0,0,Gaming,
432,192.168.68.71,50529,188.42.147.101,443,6,Gaming,
433,192.168.68.71,50245,162.247.241.2,443,6,Gaming,
434,192.168.68.52,0,239.255.255.250,0,0,Gaming,
435,192.168.68.71,50530,188.42.147.101,443,6,Gaming,
436,192.168.68.71,50228,104.18.11.21,8443,6,Gaming,
437,192.168.68.1,0,224.0.0.1,0,0,Chat,
438,192.168.68.64,5353,224.0.0.251,5353,17,Chat,
439,192.168.68.71,50316,188.42.147.158,443,6,Streaming,
440,192.168.68.71,50201,104.18.24.250,443,6,File Transfer,
441,192.168.68.71,49965,104.18.24.250,443,6,File Transfer,
442,192.168.68.71,50452,162.247.241.2,443,6,Gaming,
443,192.168.68.71,50531,188.42.147.101,443,6,Gaming,
444,192.168.68.71,50532,188.42.147.101,443,6,Gaming,
445,192.168.68.71,50439,184.26.20.128,443,6,Chat,
446,192.168.68.71,137,192.168.71.255,137,17,Email,
447,192.168.68.71,5353,224.0.0.251,5353,17,Gaming,
449,192.168.68.57,0,239.255.255.250,0,0,Email,
450,192.168.68.53,0,239.255.255.250,0,0,Chat,
451,192.168.68.71,50534,188.42.147.101,443,6,Gaming,
452,192.168.68.71,44376,188.42.147.253,54012,17,Gaming,
